Index,Name,Description,Brand,Category,Subcategory,Price,Currency,Discount_Pct,Final_Price,Tax_Rate,Stock,EAN,SKU,Internal_ID,Color,Size,Material,Weight_kg,Length_cm,Width_cm,Height_cm,Rating,Review_Count,Availability,Supplier,Country_of_Origin,Warranty_Months,Tags,Image_URL,Created_At,Updated_At
1,HP Badminton Grey 32,Stay however yet pass lose building travel of audience three whole seem book provide end participant.,HP,Sports & Fitness,Badminton,59310.63,INR,15,50414.04,28,321,0408831693451,HP-SPO-000001,PROD-4CFB7CFE,Grey,32,Silk,23.76,154.1,31.5,11.3,1.6,14607,Discontinued,Pitts LLC,Taiwan,24,Sports & Fitness|Badminton|HP|Grey|Silk,https://cdn.example.com/products/prod-4cfb7cfe.jpg,2024-03-27 11:47:19,2024-10-08 11:47:19
2,Tommy Hilfiger Office Supplies Brown 11,American if brother even use skin above listen today song never trade week strong.,Tommy Hilfiger,Books & Stationery,Office Supplies,87717.13,INR,50,43858.57,5,978,5954708116592,TOM-BOO-000002,PROD-697EECAE,Brown,11,Polyester,1.27,47.8,20.2,71.6,4.6,14670,In Stock,Clark Ltd,Vietnam,6,Books & Stationery|Office Supplies|Tommy Hilfiger|Brown|Polyester,https://cdn.example.com/products/prod-697eecae.jpg,2022-07-19 08:18:45,2022-09-09 08:18:45
3,Bosch Card Games Gold 11,Evidence someone impact say news expect.,Bosch,Toys & Games,Card Games,10343.4,INR,70,3103.02,18,879,5873483834074,BOS-TOY-000003,PROD-762DDBE1,Gold,11,Stainless Steel,7.62,136.9,108.9,80.9,4.7,4101,Limited Stock,Rivera Ltd,Japan,18,Toys & Games|Card Games|Bosch|Gold|Stainless Steel,https://cdn.example.com/products/prod-762ddbe1.jpg,2022-06-18 08:19:26,2023-03-05 08:19:26
4,Tommy Hilfiger Notebooks Cyan L,Several send feeling network spring environment boy light establish today activity among clear about last line through.,Tommy Hilfiger,Books & Stationery,Notebooks,21706.69,EUR,30,15194.68,28,4677,3941133672061,TOM-BOO-000004,PROD-F7679C1D,Cyan,L,Cotton,19.37,191.8,81.5,50.8,1.4,19461,Out of Stock,"Torres, Nguyen and Brewer",South Korea,18,Books & Stationery|Notebooks|Tommy Hilfiger|Cyan|Cotton,https://cdn.example.com/products/prod-f7679c1d.jpg,2022-04-09 14:32:09,2023-02-09 14:32:09
5,Nikon Card Games White 11,Evidence particularly white impact federal degree new office mention public dinner sign meeting partner huge court cup happen management.,Nikon,Toys & Games,Card Games,13664.99,INR,10,12298.49,0,4279,3136937093253,NIK-TOY-000005,PROD-EA4734CB,White,11,Stainless Steel,9.16,124.6,91.3,5.9,2.0,4631,Out of Stock,"Reyes, Patel and Romero",Vietnam,6,Toys & Games|Card Games|Nikon|White|Stainless Steel,https://cdn.example.com/products/prod-ea4734cb.jpg,2024-02-05 07:24:57,2025-01-21 07:24:57
6,Canon Speakers Gold One Size,Beautiful reach show seat she help cultural ball discussion road what interest expect one adult reach raise example.,Canon,Electronics,Speakers,4644.8,INR,10,4180.32,18,733,9160498064838,CAN-ELE-000006,PROD-F649D4DC,Gold,One Size,Glass,28.82,167.9,36.7,24.2,4.2,6420,In Stock,Brown Group,South Korea,24,Electronics|Speakers|Canon|Gold|Glass,https://cdn.example.com/products/prod-f649d4dc.jpg,2024-10-30 07:36:37,2024-10-30 07:36:37
7,Polo Sneakers Cyan 11,Give government subject region theory whole local walk around office administration mean least front about recent since country relationship between tree reflect agreement break nor.,Polo,Footwear,Sneakers,22633.7,INR,60,9053.48,0,3586,3904600986627,POL-FOO-000007,PROD-89FE1156,Cyan,11,Linen,6.59,92.7,21.9,97.0,3.2,15000,Pre-Order,"Walker, Patterson and Elliott",Bangladesh,24,Footwear|Sneakers|Polo|Cyan|Linen,https://cdn.example.com/products/prod-89fe1156.jpg,2023-05-03 14:44:30,2023-06-22 14:44:30
8,Fossil Dolls Silver 30,Effect nearly room cost student economy bring possible administration sell role she live.,Fossil,Toys & Games,Dolls,3494.48,EUR,0,3494.48,18,20,0149287373077,FOS-TOY-000008,PROD-A4E0C544,Silver,30,Metal,5.01,106.3,26.3,47.5,2.0,18789,Discontinued,Dunn-Carroll,India,12,Toys & Games|Dolls|Fossil|Silver|Metal,https://cdn.example.com/products/prod-a4e0c544.jpg,2022-06-19 21:41:30,2022-12-24 21:41:30
9,H&M Dolls Beige L,Instead need herself memory outside member until minute major court participant lay stuff region morning set expert.,H&M,Toys & Games,Dolls,13783.99,EUR,0,13783.99,5,2514,5746956801623,H&M-TOY-000009,PROD-C0652E4B,Beige,L,Stainless Steel,19.08,67.4,26.3,14.0,1.6,2364,Discontinued,"Mccormick, Wang and Wright",Bangladesh,6,Toys & Games|Dolls|H&M|Beige|Stainless Steel,https://cdn.example.com/products/prod-c0652e4b.jpg,2024-11-15 07:47:33,2025-01-13 07:47:33
10,Lacoste Car Accessories Yellow 42,Sense baby per ability lead education drop detail build too explain audience sister off in director nor deep beat.,Lacoste,Automotive,Car Accessories,15735.01,INR,50,7867.51,5,1620,6419845501100,LAC-AUT-000010,PROD-1CB37998,Yellow,42,Ceramic,5.8,44.1,110.6,91.0,4.1,12505,Pre-Order,Freeman Inc,USA,6,Automotive|Car Accessories|Lacoste|Yellow|Ceramic,https://cdn.example.com/products/prod-1cb37998.jpg,2022-03-27 20:21:49,2022-08-08 20:21:49
11,Sony Activewear Black 36,Mention take picture thank environment stay four.,Sony,Clothing,Activewear,82813.64,INR,70,24844.09,12,3798,6773401408532,SON-CLO-000011,PROD-F8D1BAAA,Black,36,Glass,22.14,196.5,96.8,79.5,4.3,2344,Pre-Order,Moore Inc,Vietnam,36,Clothing|Activewear|Sony|Black|Glass,https://cdn.example.com/products/prod-f8d1baaa.jpg,2022-06-19 01:40:59,2023-01-17 01:40:59
12,Lacoste Shorts Black 36,Hard meeting man history line large have mother evidence religious peace forward five treat edge.,Lacoste,Clothing,Shorts,79621.44,USD,50,39810.72,0,257,8121281153635,LAC-CLO-000012,PROD-14AE9CA0,Black,36,Polyester,8.98,106.2,91.5,75.3,2.5,2326,Limited Stock,Gill Inc,Italy,18,Clothing|Shorts|Lacoste|Black|Polyester,https://cdn.example.com/products/prod-14ae9ca0.jpg,2022-05-30 23:37:57,2022-07-17 23:37:57
13,Bajaj Swimming Blue XL,Enough responsibility speak ten grow section beyond according left.,Bajaj,Sports & Fitness,Swimming,36870.94,EUR,0,36870.94,0,971,3206813070507,BAJ-SPO-000013,PROD-9736EF27,Blue,XL,Rubber,13.73,143.2,54.4,63.9,2.5,18659,Out of Stock,Cruz Ltd,Italy,12,Sports & Fitness|Swimming|Bajaj|Blue|Rubber,https://cdn.example.com/products/prod-9736ef27.jpg,2022-06-07 03:51:07,2023-03-26 03:51:07
